applicants,apply_type,base_salary,company_address_type,company_country,company_employees_on_linkedin,company_followers_on_linkedin,company_founded,company_headquarters,company_id,company_industry,company_locality,company_name,company_organization_type,company_postal_code,company_region,company_size,company_slogan,company_specialties,company_street,employment_type,industries,job_function,location,posted_datetime,seniority_level,title,skills
63 applicants,External Apply,,PostalAddress,US,399,3094,1960,"Omaha, NE",135882,Facilities Services,Omaha,FBG Facility Services,Privately Held,68131,NE,"1,001-5,000 employees","Commercial Cleaning, Disinfection and Facilities Maintenance Services","Janitorial Services, Grounds Management, General Maintenance, Snow Removal, Mechanical/Electrical, Waste/Recycling Management,, Pest Control, Shipping/Receiving, Facility Management, Facility Maintenance, Green Cleaning, Environmental Services, and Maintenance Service",407 S. 27th Ave,Full-time,Facilities Services,Information Technology,"Omaha, NE",18/01/2025 14:46,Mid-Senior level,Data Analyst,"['python', 'sql', 'excel', 'sql server']"
39 applicants,External Apply,,PostalAddress,US,4590,65965,1866,"Queens, New York",245926,Hospitals and Health Care,Queens,NYC Department of Health and Mental Hygiene,Government Agency,10013,New York,"5,001-10,000 employees",Promoting and protecting the health of all New Yorkers.,,42-09 28th Street,Full-time,Hospitals and Health Care,Information Technology,"Manhattan, NY",18/01/2025 17:52,Internship,Data Analytics Grad Intern,"['python', 'excel', 'aws', 'data analytics']"
52 applicants,External Apply,,PostalAddress,US,131,18211,2010,"Fremont, California",66321745,IT Services and IT Consulting,Fremont,SynergisticIT,Privately Held,94539,California,201-500 employees,The Best Programmers in the Bay Area.....Period!,"Software Development, IT Recruitment, and IT Upskill",Civic Center Dr,Contract,IT Services and IT Consulting,Information Technology,"Orlando, FL",18/01/2025 8:25,Entry level,Data Analyst (Junior),"['python', 'excel', 'powerbi', 'tableau', 'machine learning', 'data visualization', 'statistics', 'nlp', 'database']"
133 applicants,External Apply,"$95,000.00/yr - $115,000.00/yr",PostalAddress,US,2829,243130,2014,"Stamford, Connecticut",5250800,Financial Services,Stamford,Point72,Privately Held,6902,Connecticut,"1,001-5,000 employees",,,72 Cummings Point Road,Full-time,Financial Services,Information Technology,"New York, United States",18/01/2025 0:18,Entry level,"Sector Analyst, MI-Data","['python', 'sql', 'excel']"
26 applicants,External Apply,"$163,000.00/yr - $211,000.00/yr",PostalAddress,US,8854,297334,2005,"Brooklyn, NY",67849,Software Development,Brooklyn,Etsy,Public Company,11201,NY,"1,001-5,000 employees",Keep Commerce Human,,117 Adams St,Full-time,Software Development,Engineering and Information Technology,"Brooklyn, NY",18/01/2025 2:00,Mid-Senior level,"Staff Data Scientist, Marketing","['python', 'sql', 'r studio', 'data visualization']"
61 applicants,External Apply,,,,,,,,84004164,,,Interon IT Solutions,,,,,,,,Full-time,Information Technology & Services,Information Technology,"Los Angeles, CA",18/01/2025 2:20,Entry level,Data Analyst,"['sql', 'power bi', 'tableau', 'mysql', 'postgres', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,67,747,1861,"Topeka, KS",64854093,Government Administration,Topeka,Kansas Office of Judicial Administration,Government Agency,66612,KS,"1,001-5,000 employees","The Kansas judicial branch is always working to improve the system of justice the
people created in their Constitution.",,301 SW 10th Avenue,Full-time,Internet Publishing,Legal,"Council Grove, KS",18/01/2025 7:00,Entry level,Trial Court Clerk II - 8th Judicial District,[]
Be among the first 25 applicants,External Apply,,,,,,,,84004164,,,Interon IT Solutions,,,,,,,,Full-time,Information Technology & Services,Information Technology,"United, LA",18/01/2025 19:16,Entry level,Data Analyst,"['sql', 'power bi', 'tableau', 'mysql', 'postgres', 'database']"
Be among the first 25 applicants,Easy Apply,"$144,000.00/yr - $216,000.00/yr",PostalAddress,US,3917,350319,2002,"San Jose, California",50076,Software Development,San Jose,Roku,Public Company,,California,"1,001-5,000 employees",Amazing Individuals. Unstoppable Team.,"Licensing, Audio, Operating System for TV, Streaming Players and Smart TVs, Smart Home, Streaming Platform, Content Distribution, OTT Advertising, Advertising, Home Entertainment, Streaming Media, and Original Programming",,Full-time,Software Development,Engineering and Information Technology,"New York, NY",18/01/2025 2:29,Mid-Senior level,Senior Business Automation Manager of Data Strategy,"['sql', 'tableau']"
Over 200 applicants,Easy Apply,$95.00/hr - $106.40/hr,PostalAddress,US,247,232945,1997,"Alpharetta, Georgia",260295,Staffing and Recruiting,Alpharetta,Synergis,Privately Held,30009,Georgia,201-500 employees,Your workforce solutions partner serving thousands of businesses and job seekers nationwide.,"Workforce Management Solutions, Recruitment Services, Contract Staffing, Payroll Services, and Vendor Management",1105 Lakewood Pkwy,Contract,"Staffing and Recruiting and Technology, Information and Media",Information Technology,"Seattle, WA",18/01/2025 14:31,Mid-Senior level,Data Scientist,"['python', 'sql', 'excel', 'machine learning', 'aws', 'statistics', 'nlp']"
160 applicants,External Apply,,,,39628,46129,2022,,82485916,Hospitals and Health Care,,Corewell Health,Nonprofit,,,"10,001+ employees","Improve health, instill humanity and inspire hope.",,,Full-time,Hospitals and Health Care,Information Technology,"Grand Rapids, MI",18/01/2025 3:12,Internship,Data Analytics Intern,"['excel', 'data analytics']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,317,1824,1887,"Canfield, OH",9250419,Banking,Canfield,Farmers National Bank of Canfield,Public Company,44406,OH,"501-1,000 employees","Fiercely local. Fiercely loyal.
","Mortgage Lending, Commercial Lending, Business Banking, Farmers National Investments, Farmers National Insurance, Checking, Savings, Online Banking, Mobile Banking, Private Client Services, Treasury Management, and Financing",20 S. Broad Street,Full-time,Banking,Finance and Sales,"Youngstown, OH",18/01/2025 6:25,Mid-Senior level,Securities Trader,[]
Be among the first 25 applicants,External Apply,,PostalAddress,US,8314,59117,1839,"Austin, Texas",163072,Government Administration,Austin,City of Austin,Government Agency,78767,Texas,"10,001+ employees",,"Information Technology, Engineering, and Healthcare",PO Box 1088,Full-time,Government Administration,Other,"Austin, TX",18/01/2025 17:27,Associate,IT Data Analyst (GIS),"['python', 'sql', 'data visualization', 'big data', 'data warehouse', 'database']"
Be among the first 25 applicants,External Apply,"$250,000.00/yr - $275,000.00/yr",PostalAddress,US,299,49626,2005,New York,354816,Online Media,New York,Bisnow,Privately Held,,,51-200 employees,"Informing, connecting and advancing the commercial real estate community to do more business.","Association/Entrepreneur, Event Production, E-Publications, Technology, Networking, Educational, Events, Conferences, Recruitment Services, Advertising Solutions, News, Commercial Real Estate, Newsletters, and Dealmaking",123 William St,Full-time,Online Media,Other,"Hartford, CT",18/01/2025 20:18,Not Applicable,Executive Director of Development,['aws']
